452 1458 1286 172 11.797 94.8378
#timestep,clever_speedup,fast_speedup,clever_time,fast_time,zero_time,clever_iter,fast_iter,zero_iter,clever_sav,fast_sav,tridiagTime,cuspHintTime,clever_iter_perc_savings,fast_iter_perc_savings,channel%%,current%%,solver%%
1.1,0.81372,1.28644,1.09856,0.69488,0.89392,1,1,2,1,1,0.418336,0.680224,50,50,2.80445,3.26685,93.9287
1.11,0.853081,1.32031,1.10755,0.715616,0.944832,1,1,2,1,1,0.420192,0.68736,50,50,2.84412,3.22677,93.9291
1.12,0.775036,1.29302,1.16314,0.697184,0.901472,1,1,2,1,1,0.481536,0.6816,50,50,2.57336,3.70275,93.7239
1.13,0.80064,1.26963,1.1008,0.694176,0.881344,1,1,2,1,1,0.42,0.6808,50,50,2.81183,3.27864,93.9095
1.14,0.804792,1.27581,1.10061,0.694272,0.88576,1,1,2,1,1,0.419456,0.681152,50,50,2.82359,3.25505,93.9214
1.15,0.800666,1.27858,1.11491,0.698176,0.892672,1,1,2,1,1,0.419712,0.6952,50,50,2.77755,3.17705,94.0454
1.16,0.800888,1.27849,1.10957,0.695072,0.88864,1,1,2,1,1,0.429152,0.680416,50,50,2.73552,3.07237,94.1921
1.17,0.803049,1.28912,1.11882,0.69696,0.898464,1,1,2,1,1,0.419648,0.699168,50,50,2.84693,3.16146,93.9916
1.18,0.78781,1.2621,1.11568,0.696416,0.878944,1,1,2,1,1,0.426976,0.688704,50,50,2.80472,3.26005,93.9352
1.19,0.780724,1.23907,1.12355,0.707936,0.877184,1,1,2,1,1,0.424096,0.699456,50,50,2.79035,3.18667,94.023
1.2,0.807179,1.28494,1.11789,0.70224,0.902336,1,1,2,1,1,0.438176,0.679712,50,50,2.75073,3.03929,94.21
1.21,0.793018,1.26007,1.10541,0.69568,0.876608,1,1,2,1,1,0.419968,0.68544,50,50,2.85116,3.25886,93.89
1.22,0.797229,1.23308,1.09933,0.710752,0.876416,1,1,2,1,1,0.418784,0.680544,50,50,2.81424,3.22995,93.9558
1.23,0.798024,1.23972,1.10778,0.713088,0.884032,1,1,2,1,1,0.420768,0.687008,50,50,2.76224,3.2131,94.0247
1.24,0.791424,1.26283,1.11123,0.696416,0.879456,1,1,2,1,1,0.43008,0.681152,50,50,2.69331,3.02454,94.2822
1.25,0.792169,1.25794,1.10736,0.697344,0.877216,1,1,2,1,1,0.427488,0.679872,50,50,2.83511,3.19085,93.974
1.26,0.794928,1.26008,1.10291,0.695776,0.876736,1,1,2,1,1,0.420896,0.682016,50,50,2.86329,3.23925,93.8975
1.27,0.777844,1.25236,1.12858,0.70096,0.877856,1,1,2,1,1,0.432512,0.696064,50,50,2.73559,3.13859,94.1258
1.28,0.825584,1.30627,1.0977,0.69376,0.90624,1,1,2,1,1,0.414656,0.68304,50,50,2.7489,3.14395,94.1072
1.29,0.800274,1.26432,1.09958,0.696,0.879968,1,1,2,1,1,0.41888,0.680704,50,50,2.81671,3.30574,93.8775
1.3,0.804527,1.26842,1.09994,0.697664,0.884928,1,1,2,1,1,0.418272,0.681664,50,50,2.81317,3.21505,93.9718
1.31,0.800422,1.27513,1.1073,0.695072,0.886304,1,1,2,1,1,0.42304,0.684256,50,50,2.83565,3.17788,93.9865
1.32,0.803849,1.28501,1.10902,0.69376,0.891488,1,1,2,1,1,0.429696,0.679328,50,50,2.68756,3.03846,94.274
1.33,0.797507,1.26188,1.10147,0.696128,0.878432,1,1,2,1,1,0.419136,0.682336,50,50,2.84404,3.20705,93.9489
1.34,0.791382,1.26076,1.10656,0.694592,0.875712,1,1,2,1,1,0.419584,0.686976,50,50,2.79084,3.23922,93.9699
1.35,0.786682,1.25279,1.12163,0.70432,0.882368,1,1,2,1,1,0.418336,0.703296,50,50,2.77211,3.16659,94.0613
1.36,0.789866,1.26461,1.11274,0.695008,0.878912,1,1,2,1,1,0.423264,0.689472,50,50,2.72828,2.96694,94.3048
1.37,0.797158,1.26589,1.10352,0.694912,0.87968,1,1,2,1,1,0.417824,0.685696,50,50,2.83645,3.29105,93.8725
1.38,0.716059,1.23252,1.2247,0.71152,0.87696,1,1,2,1,1,0.418176,0.806528,50,50,2.53896,2.9366,94.5244
1.39,1.18346,1.8201,1.10797,0.720416,1.31123,1,1,2,1,1,0.419232,0.688736,50,50,2.78856,3.19857,94.0129
1.4,0.791201,1.25219,1.10851,0.700416,0.877056,1,1,2,1,1,0.42912,0.679392,50,50,2.72777,3.06228,94.21
1.41,0.793509,1.23198,1.10339,0.710688,0.875552,1,1,2,1,1,0.420832,0.68256,50,50,2.91852,3.2071,93.8744
1.42,0.796743,1.25234,1.10048,0.700128,0.8768,1,1,2,1,1,0.419168,0.681312,50,50,2.80152,3.29574,93.9027
1.43,0.795348,1.25738,1.10346,0.697984,0.877632,1,1,2,1,1,0.419424,0.684032,50,50,2.80132,3.23187,93.9668
1.44,0.768639,1.26243,1.13955,0.693824,0.875904,1,1,2,1,1,0.46016,0.679392,50,50,2.61811,2.9205,94.4614
1.45,0.79864,1.2693,1.10083,0.69264,0.879168,1,1,2,1,1,0.42032,0.680512,50,50,2.8403,3.29868,93.861
1.46,0.79325,1.2596,1.1065,0.696832,0.877728,1,1,2,1,1,0.42528,0.681216,50,50,2.86289,3.21599,93.9211
1.47,0.782728,1.23799,1.11904,0.70752,0.875904,1,1,2,1,1,0.424544,0.694496,50,50,2.76934,3.20759,94.0231
1.48,0.793908,1.2657,1.10614,0.693824,0.878176,1,1,2,1,1,0.42416,0.681984,50,50,2.71501,3.05847,94.2265
1.49,0.804853,1.27364,1.09997,0.695104,0.885312,1,1,2,1,1,0.41856,0.681408,50,50,2.87174,3.20509,93.9232
1.5,0.802885,1.2722,1.10035,0.694432,0.883456,1,1,2,1,1,0.419296,0.681056,50,50,2.80563,3.25639,93.938
1.51,0.794461,1.26243,1.12422,0.707488,0.893152,1,1,2,1,1,0.428416,0.695808,50,50,2.79971,3.1664,94.0339
1.52,0.795866,1.27315,1.11002,0.693888,0.883424,1,1,2,1,1,0.42896,0.681056,50,50,2.64904,5.27685,92.0741
1.53,0.793017,1.25986,1.1071,0.696864,0.877952,1,1,2,1,1,0.419424,0.68768,50,50,2.83124,3.2547,93.9141
1.54,0.787675,1.25547,1.11226,0.697824,0.876096,1,1,2,1,1,0.41792,0.694336,50,50,2.77349,3.17666,94.0498
1.55,0.793003,1.22577,1.10858,0.717184,0.879104,1,1,2,1,1,0.419552,0.689024,50,50,2.81839,3.20901,93.9726
1.56,0.789475,1.26241,1.11462,0.697056,0.879968,1,1,2,1,1,0.427328,0.687296,50,50,2.73005,3.02497,94.245
1.57,0.798299,1.23774,1.09898,0.7088,0.877312,1,1,2,1,1,0.419424,0.679552,50,50,2.88869,3.2549,93.8564
1.58,0.800542,1.26438,1.09866,0.695616,0.87952,1,1,2,1,1,0.418848,0.679808,50,50,2.81494,3.26358,93.9215
1.59,0.793384,1.25745,1.11542,0.703776,0.88496,1,1,2,1,1,0.42,0.695424,50,50,2.78228,3.15199,94.0657
1.6,0.78905,1.2651,1.11283,0.69408,0.87808,1,1,2,1,1,0.433056,0.679776,50,50,2.68724,3.01264,94.3001
1.61,0.798891,1.26394,1.10237,0.696768,0.880672,1,1,2,1,1,0.420768,0.6816,50,50,2.90866,3.27088,93.8205
1.62,0.833131,1.32783,1.10861,0.695584,0.923616,1,1,2,1,1,0.424032,0.684576,50,50,2.79557,3.17555,94.0289
1.63,0.790678,1.12053,1.10803,0.781856,0.876096,1,1,2,1,1,0.418528,0.689504,50,50,2.80085,3.22423,93.9749
1.64,0.79332,1.2642,1.10749,0.694976,0.878592,1,1,2,1,1,0.426432,0.681056,50,50,2.70432,3.04202,94.2537
1.65,0.803885,1.26983,1.10058,0.696736,0.884736,1,1,2,1,1,0.419328,0.681248,50,50,2.8534,3.23567,93.9109
1.66,1.18733,1.87869,1.10234,0.696672,1.30883,1,1,2,1,1,0.419712,0.682624,50,50,2.85372,3.25438,93.8919
1.67,0.794326,1.10347,1.10886,0.798208,0.8808,1,1,2,1,1,0.42832,0.680544,50,50,2.69726,2.98849,94.3142
1.68,0.798364,1.26521,1.1033,0.696192,0.880832,1,1,2,1,1,0.422624,0.680672,50,50,2.72081,2.99973,94.2795
1.69,0.804697,1.27798,1.10368,0.694944,0.888128,1,1,2,1,1,0.420096,0.683584,50,50,2.82331,3.27525,93.9015
1.7,0.805835,1.27828,1.10339,0.695584,0.889152,1,1,2,1,1,0.418496,0.684896,50,50,2.7936,3.22967,93.9767
1.71,0.791447,1.25395,1.1224,0.708416,0.88832,1,1,2,1,1,0.428864,0.693536,50,50,2.71128,2.94529,94.3434
1.72,0.798129,1.27427,1.10835,0.694208,0.884608,1,1,2,1,1,0.426944,0.681408,50,50,2.73358,3.05726,94.2092
1.73,0.79003,1.25781,1.11178,0.698304,0.878336,1,1,2,1,1,0.418848,0.692928,50,50,2.8246,3.17632,93.9991
1.74,0.797623,1.24928,1.10099,0.702944,0.878176,1,1,2,1,1,0.41952,0.681472,50,50,2.79044,3.26826,93.9413
1.75,0.793457,1.19787,1.10915,0.734688,0.880064,1,1,2,1,1,0.42096,0.688192,50,50,2.78622,3.1796,94.0342
1.76,0.792701,1.23541,1.1065,0.709984,0.87712,1,1,2,1,1,0.426368,0.680128,50,50,2.77407,3.00025,94.2257
1.77,0.800513,1.25682,1.09882,0.699872,0.879616,1,1,2,1,1,0.418912,0.679904,50,50,2.81948,3.27618,93.9043
1.78,0.795262,1.25842,1.10221,0.696544,0.876544,1,1,2,1,1,0.419936,0.682272,50,50,2.82574,3.22669,93.9476
1.79,0.79449,1.26451,1.10928,0.69696,0.881312,1,1,2,1,1,0.42,0.68928,50,50,2.81973,3.19388,93.9864
1.8,0.787013,1.26376,1.11571,0.694816,0.87808,1,1,2,1,1,0.436768,0.678944,50,50,2.6772,3.03686,94.2859
1.81,0.796772,1.25992,1.10032,0.69584,0.876704,1,1,2,1,1,0.420512,0.679808,50,50,2.90223,3.21894,93.8788
1.82,0.79413,1.26209,1.10547,0.695584,0.877888,1,1,2,1,1,0.423968,0.681504,50,50,2.81146,3.25738,93.9312
1.83,0.780601,1.25374,1.1359,0.707232,0.886688,1,1,2,1,1,0.421024,0.71488,50,50,2.73152,3.13196,94.1365
1.84,0.798031,1.2748,1.11146,0.695776,0.886976,1,1,2,1,1,0.429088,0.682368,50,50,2.70652,3.00513,94.2884
1.85,0.800593,1.26729,1.10086,0.695456,0.881344,1,1,2,1,1,0.418528,0.682336,50,50,2.82571,3.25161,93.9227
1.86,0.810604,1.28531,1.10262,0.695392,0.893792,1,1,2,1,1,0.421568,0.681056,50,50,2.85434,3.20875,93.9369
1.87,0.791374,1.2429,1.11587,0.710496,0.883072,1,1,2,1,1,0.427616,0.688256,50,50,2.77028,3.16681,94.0629
1.88,0.792895,1.26829,1.11248,0.695488,0.88208,1,1,2,1,1,0.42864,0.68384,50,50,2.68929,3.06341,94.2473
1.89,0.760207,1.25286,1.15606,0.701472,0.878848,1,1,2,1,1,0.41904,0.737024,50,50,2.72426,3.09445,94.1813
1.9,0.798717,1.2505,1.10221,0.704,0.880352,1,1,2,1,1,0.419456,0.682752,50,50,2.83307,3.24753,93.9194
1.91,0.765169,1.26774,1.15446,0.6968,0.88336,1,1,2,1,1,0.429088,0.725376,50,50,2.61159,2.88663,94.5018
1.92,0.796484,1.16215,1.10662,0.758432,0.881408,1,1,2,1,1,0.426176,0.680448,50,50,2.6988,3.02865,94.2726
1.93,0.569357,1.26218,1.5447,0.6968,0.879488,1,1,2,1,1,0.420416,1.12429,50,50,2.06289,2.64524,95.2919
1.94,0.799226,1.25653,1.10022,0.699808,0.879328,1,1,2,1,1,0.41824,0.681984,50,50,2.80936,3.23021,93.9604
1.95,0.784935,1.23919,1.12026,0.7096,0.879328,1,1,2,1,1,0.425696,0.69456,50,50,2.75747,3.15524,94.0873
1.96,0.797468,1.25652,1.10189,0.699328,0.87872,1,1,2,1,1,0.42128,0.680608,50,50,2.87513,3.28392,93.841
1.97,0.796627,1.26151,1.10064,0.69504,0.8768,1,1,2,1,1,0.420416,0.680224,50,50,2.8849,3.23972,93.8754
